Date,Buy or sell signal,Profit,95% VAR,99% VAR
25/01/2012,2,-3420.014,8581.304231,12145.98311
01/02/2012,-2,-16679.992,8172.390838,11584.72208
03/02/2012,2,-16439.972,8978.005963,12540.1156
06/02/2012,-2,-9079.988,8287.925177,11823.00693
08/02/2012,2,-4679.994,8841.817739,12271.42753
16/02/2012,-2,-11100.006,7795.411105,11138.23937
28/02/2012,2,-7740.02,8443.822604,11822.56268
29/02/2012,-2,-8220.002,7707.440761,11048.38428
07/03/2012,2,-8160.004,8502.982185,11896.53489
12/03/2012,-2,-760.01,7527.300405,10925.56337
13/03/2012,2,-2399.994,8271.062752,11608.609
14/03/2012,-2,-4660.002,7381.396273,10628.91797
15/03/2012,2,-4339.996,8304.789708,11577.08034
10/04/2012,-2,5100.006,6629.426212,9428.157918
11/04/2012,2,-1980.01,7018.575698,9812.680531
16/04/2012,-2,-4940.002,6474.669615,9171.643846
17/04/2012,2,-5779.998,6634.201803,9423.485211
23/04/2012,-2,-299.988,6152.541725,8610.520886
24/04/2012,2,-4179.994,6148.24816,8704.585009
10/07/2012,-2,58339.996,8314.541848,11543.22485
19/07/2012,2,-13339.996,7629.124678,11009.32605
25/07/2012,-2,-18239.99,8328.190077,11466.80787
26/07/2012,2,-5919.984,7513.688748,10769.0829
10/10/2012,-2,49960.02,6711.439998,9340.597598
26/11/2012,2,2740.02,6830.941538,9672.560163
11/02/2013,-2,27179.992,7815.028187,11029.09801
13/02/2013,2,-24520.02,8253.269563,11742.54843
25/02/2013,-2,-19200.012,8160.281943,11584.13255
28/02/2013,2,-8799.988,8036.398828,11431.84432
14/03/2013,-2,2940.002,8422.913019,11799.84868
28/03/2013,2,-1500,7134.837891,10206.52529
01/04/2013,-2,-9760.01,7693.308439,10720.72805
10/04/2013,2,-6320.008,6959.445126,10061.67521
18/04/2013,-2,-10699.952,7621.673525,10735.07796
23/04/2013,2,-18959.962,7372.43296,10490.58863
26/04/2013,-2,-28179.992,8040.450423,11273.13089
10/05/2013,2,-17640.014,8167.930104,11600.36394
