Date,Buy/sell signal (2 = buy / -2 = sell),Profit,95% VAR,99% VAR
27/06/2012,2,-1065.704,2416.059413,3489.339386
28/06/2012,-2,-1557.144,2753.156253,3819.187937
29/06/2012,2,-4271.44,2465.546339,3543.273037
25/07/2012,-2,-2580.002,2682.829145,3756.830861
27/07/2012,2,-2911.422,2557.303051,3668.183494
05/10/2012,-2,19265.716,2434.978253,3342.591896
22/03/2013,2,54479.996,2775.454087,3860.569569
27/03/2013,-2,-2808.578,2374.573728,3415.111722
30/04/2013,2,2657.142,2454.169574,3407.480403
15/05/2013,-2,-3979.996,2126.10476,3090.716695
20/05/2013,2,-4022.858,2396.786231,3355.101531
12/06/2013,-2,-3068.574,2011.935989,2863.392971
13/06/2013,2,-1077.142,2190.201351,3062.785201
14/06/2013,-2,-1688.568,1978.790388,2851.796795
18/07/2013,2,-488.57,1616.60553,2250.886841
19/07/2013,-2,-1945.716,1550.968969,2195.497128
24/07/2013,2,-4445.716,1640.93645,2335.729302
13/09/2013,-2,6968.568,1830.804379,2568.007571
19/09/2013,2,-2114.288,1700.809702,2423.148327
20/09/2013,-2,-1397.14,1789.954984,2511.255776
23/09/2013,2,-6637.146,1816.034254,2597.942707
08/10/2013,-2,-2771.44,1910.112362,2651.738449
09/10/2013,2,-1614.29,1749.186434,2505.509475
07/01/2014,-2,15271.438,1942.938887,2720.091001
08/01/2014,2,-977.142,1789.767356,2550.226021
09/01/2014,-2,-1982.864,1916.063009,2676.272293
14/01/2014,2,-2820.006,1817.937655,2604.548328
17/01/2014,-2,-1634.292,1956.391962,2733.197245
21/01/2014,2,-2399.994,1832.855773,2607.419515
24/01/2014,-2,-857.132,2023.461775,2808.13007
27/01/2014,2,-1265.716,1831.995987,2600.411883
28/01/2014,-2,-12571.44,2042.603272,2863.830103
13/02/2014,2,-10837.142,1763.418338,2551.189386
19/02/2014,-2,-2017.136,1919.123208,2683.990671
11/03/2014,2,365.722,1755.658522,2493.410509
13/03/2014,-2,-1554.276,1834.553917,2585.607849
18/03/2014,2,-214.28,1754.494843,2482.284837
20/03/2014,-2,-771.424,1781.916255,2499.581809
21/03/2014,2,-1191.422,1759.644488,2491.71261
07/04/2014,-2,-2685.716,1716.171811,2418.505763
09/04/2014,2,-1957.154,1707.104672,2398.63494
10/04/2014,-2,-1954.284,1703.480142,2410.961571
21/04/2014,2,-2197.144,1712.17088,2403.423756
23/04/2014,-2,-1834.29,1646.971418,2348.98522
24/04/2014,2,-12291.428,2070.890377,2959.56413
25/09/2014,-2,33520.004,1931.315984,2673.266745
